nama_produk,kategori,username,rating,ulasan,tanggal
POCO C71,handphone,G***n,3,"Saya protes Ekspedisi JNE yang slalu lama ngantar barang ke konsumen, di endapkan dlu di kantor. Tunggu jadwal baru dikirim ke konsumen. Jangan kirim lewat JNE lagi",7 bulan lalu
POCO C71,handphone,s***i,3,Tangerang jakarta barang mutar mutar kadang sedang di antar dan balik lagi ke gudang akhirnya lama juga sampai😆,Lebih dari 1 tahun lalu
POCO C71,handphone,E***n,3,kurang suka...biasa aja,10 bulan lalu
POCO C71,handphone,Hermen,3,Suara speaker-nya terlalu kecil,5 hari lalu
POCO C71,handphone,Riki,3,Made in Indonesian,9 bulan lalu
POCO C71,handphone,M***a,2,pengiriman lmayan lama,10 bulan lalu
POCO C71,handphone,Ridwan,1,Order varian Gold ditambah note lagi minta Gold yang dikirim Silver. Seperti biasa penjual minta video unboxing. Sudah dikasihpun masih tidak mau mengakui dr penjual sala...,8 bulan lalu
POCO C71,handphone,satria,1,Barang yg dikirim bermasalah alias HP nya tidak mau jalan stak di gambar playstore terus. tapi toko masih bersih keras tidak mau bertanggung jawab. saya ajukan refund s...,8 bulan lalu
POCO C71,handphone,B***y,1,"Produk yg dikirim bermasalah, ketika pengajuan komplain, penjual menolak pengajuan REFUND saya.",10 bulan lalu
POCO C71,handphone,Rasyel,1,"Kecewa padahal seler resmi tapi pelayanan bagusan orang konter, pesannya gold yang datang silver",9 bulan lalu
POCO C71,handphone,Tanti,1,dus ya penyok baget,7 bulan lalu
POCO C71,handphone,faisal,1,⭐hwhjuwiwjnabbahhahajajwjahwhwhhwhahhabvffghhhhhhhfrtt,9 bulan lalu
POCO C71,handphone,hadi,1,Hp nya bermasalah kak nge hang lemot bgt gimana ini,3 bulan lalu
POCO C71,handphone,A***y,1,"Hp-nya ngefreeze terus restart mulu pas lagi dipake, udah gitu sinyal juga suka ilang.",2 bulan lalu
POCO C71,handphone,S***n,1,untuk Xiaomi official anda kontlo 🖕,9 bulan lalu
POCO C71,handphone,citra,1,saya mint di refund loh dari awal,7 bulan lalu
POCO C71,handphone,enggar,1,toko ribet,5 bulan lalu
Infinix Smart 20 4/64GB,handphone,Noona,5,"Barang masih bersegel, ori dan cakep 😊",2 minggu lalu
Infinix Smart 20 4/64GB,handphone,Hairil,5,"Paket Sampai dgn aman Packingan juga rapi dan bagus. Brg yg dpesan juga sesuai dgn pesanan Yg ksekian kalinya order dsini selain murah,original, pngiriman lumyan cepat, s...",2 hari lalu
Infinix Smart 20 4/64GB,handphone,Rumini,5,"BNIB, paket aman tanpa kendala packing aman",1 bulan lalu
Infinix Smart 20 4/64GB,handphone,A***s,5,"Barang masih segel ,,sesuai pesanan dan tiba dalam kondisi baik ..",2 bulan lalu
Infinix Smart 20 4/64GB,handphone,Yudi,5,"Barang original Dan Segel ok, pesanan sesuai. fast respon, recommended seller",1 bulan lalu
Infinix Smart 20 4/64GB,handphone,L***a,5,Barang masih di segel dan bagus hpnya,1 bulan lalu
Infinix Smart 20 4/64GB,handphone,H***k,5,Barang sudah di terima masih segel…pakingan bagus…,2 bulan lalu
Infinix Smart 20 4/64GB,handphone,Andrian,5,"barang sesuai, garansi resmi, packing aman dan rapih. pengiriman cepat. terimakasih",1 bulan lalu
Infinix Smart 20 4/64GB,handphone,h***k,5,sesuai pesanan... masih segel dan pengiriman cepat,2 bulan lalu
Infinix Smart 20 4/64GB,handphone,J***o,5,pengiriman cepat barang terima dengan aman dan nyaman dipakai,1 bulan lalu
Infinix Smart 20 4/64GB,handphone,s***i,5,barang sesuai pesanan....garansi resmi dan masih segel...,1 bulan lalu
Infinix Smart 20 4/64GB,handphone,Pratiwi,5,alhamdulillah barang sampai dengan selamat dan msh tersegel 👍🏻,1 bulan lalu
Infinix Smart 20 4/64GB,handphone,s***i,5,barang sesuai pesanan... garansi resmi... semoga awet,3 minggu lalu
Infinix Smart 20 4/64GB,handphone,v***i,5,barang sesuai pesanan...pastinya harga termurah cuma di official store...,1 bulan lalu
Infinix Smart 20 4/64GB,handphone,ahmad,5,trimakasih kak brang original.... harga paling murah pokonya,1 bulan lalu
Infinix Smart 20 4/64GB,handphone,H***k,5,Barang sesuai pesanan…dapat harga sebelum naik…tq infinix,1 bulan lalu
Infinix Smart 20 4/64GB,handphone,h***k,5,"barang, sudah di Terima ... garansi resmi dan masih segel",4 hari lalu
Infinix Smart 20 4/64GB,handphone,R***n,5,hp ram 4/64 sudah tiba di rumah dengan selamat,1 bulan lalu
Infinix Smart 20 4/64GB,handphone,H***k,5,barang sesuai pesanan.. pengiriman cepat,1 bulan lalu
Infinix Smart 20 4/64GB,handphone,Lip,5,"Barang baru, original dan garansi resmi.",1 minggu lalu
Infinix Smart 20 4/64GB,handphone,Bani,5,barang original langsung dari official,3 minggu lalu
Infinix Smart 20 4/64GB,handphone,H***k,5,barang sesuai pesanan... garansi resmi,3 minggu lalu
Infinix Smart 20 4/64GB,handphone,P***r,5,"mantap......., ok.......... ori......",2 bulan lalu
Infinix Smart 20 4/64GB,handphone,Alif,5,mantapppp admin joss barang joss,1 bulan lalu
Infinix Smart 20 4/64GB,handphone,H***o,5,ok banget barangnya segel,1 bulan lalu
Infinix Smart 20 4/64GB,handphone,edi,5,pengiriman cepat sesuai,2 bulan lalu
Infinix Smart 20 4/64GB,handphone,Rendis,4,"barang ori, bagus, tapi rada lemot, pengiriman cepat, sesuai harga lah",1 bulan lalu
Infinix Smart 20 4/64GB,handphone,H***a,4,"kalau Seminggu gak di restart, di telpon Dan di WA gak Bisa masuk. Setelah di restart baru Bisa. padahal HP sebelum di restart tidak hang.",5 hari lalu
Infinix Smart 20 4/64GB,handphone,y***n,4,proses serah barang ke kurir lama banget.,3 minggu lalu
Infinix Smart 20 4/64GB,handphone,Josua,3,"Charger HP tidak sesuai dengan spek, alias tidak masuk ke HP pda saat mau dicharger",2 bulan lalu
Infinix Smart 20 4/256GB,handphone,Redmi,5,"mantap, ram yg mahal alihkan ke internal yg besar. minimal sudah bisa di tambah ram nya",2 minggu lalu
Infinix Smart 20 4/256GB,handphone,R***s,5,"alhamdulillah mendarat sampe tujuan, brng bener2 baru fresh no repack thank you",1 minggu lalu
Infinix Smart 20 4/256GB,handphone,M***h,5,barang sangat rekomendasi banget bagus dan sangat memuaskan sekali trimakasih buat infinix,1 minggu lalu
Infinix Smart 20 4/256GB,handphone,ahmad,5,trimakasih dapat promo murah... produk original garansi resmi sagel..,1 hari lalu
Infinix Smart 20 4/256GB,handphone,M***i,5,makasih barang nyaaaa yah,1 minggu lalu
Infinix Smart 20 4/256GB,handphone,likhin,5,bagus original,2 minggu lalu
